"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"448","P.J. Tucker","Phi","F","37.9","64","25.7","6.3","17","22","0.864","72","0.472","113","0.398","0.549","0.57","3.5","4","0.8","0.5","0.2","0.6","7.5","4.3","8.3","3.5","119.3","108"
"449","Olivier Sarr","Okc","C","24.1","2","10.9","14.3","0","1","1","4","0.75","3","0","0.429","0.47","3.5","2.5","0","0","0.5","0","6","3.5","6","0","113.3","109.5"
"450","David Duke Jr.","Bro","G","23.4","18","9.6","20.3","18.6","9","0.556","53","0.509","8","0.125","0.467","0.477","3.4","1.1","0.9","0.4","0.1","0.8","4.6","4.3","5.4","6.2","92","103.1"
"451","Taj Gibson","Was","F","37.7","41","9.9","15.3","16.5","36","0.667","87","0.598","19","0.211","0.547","0.575","3.4","2","0.7","0.3","0.2","0.5","5.5","4.1","6.2","6.8","114.6","98.5"
"452","Christian Koloko","Tor","C","22.7","46","14.4","10.8","12.5","53","0.66","117","0.513","9","0.111","0.488","0.529","3.4","3.2","0.5","0.3","1","0.4","6.6","3.9","7.1","4.9","119.5","101.3"
"453","Paul Reed","Phi","F","23.7","54","10.1","15.3","18.3","29","0.759","139","0.59","4","0","0.573","0.597","3.4","3.4","0.3","0.6","0.7","0.6","6.8","3.8","7.1","6","119.5","92.5"
"454","Goga Bitadze","Ind","C-F","23.6","21","9.6","15.5","18.7","24","0.458","38","0.605","14","0.286","0.558","0.551","3.3","2.3","0.9","0.4","0.5","0.6","5.6","4.1","6.5","7.9","115.4","102.7"
"455","Boban Marjanovic","Hou","C","34.6","24","4.8","22.6","15","24","0.75","44","0.705","1","0","0.689","0.72","3.3","1.7","0.2","0.2","0","0.3","5","3.5","5.3","8.7","132.7","114.5"
"456","Miles McBride","Nyk","G","22.5","55","11.8","14.1","10.5","34","0.706","64","0.438","114","0.289","0.435","0.464","3.3","0.8","1.1","0.6","0.1","0.4","4.1","4.3","5.2","4.8","104.4","109.9"
"457","Usman Garuba","Hou","F","21","60","13.2","10.3","21.3","42","0.595","102","0.52","38","0.553","0.604","0.612","3.2","4.3","0.9","0.7","0.4","0.6","7.6","4.1","8.5","7","123.1","104.8"
"458","Anthony Gill","Was","F","30.4","45","10.1","11.5","9.9","43","0.791","70","0.714","21","0.143","0.599","0.65","3.2","1.5","0.5","0.1","0.2","0.2","4.7","3.7","5.2","5.3","135.6","107.8"
"459","Richaun Holmes","Sac","F","29.4","35","8.7","12.6","15.8","17","0.824","65","0.677","4","0.75","0.703","0.726","3.2","2","0.1","0.1","0.3","0.4","5.2","3.3","5.3","4","132.9","103.8"
"460","Wesley Matthews","Mil","G","36.4","39","15.6","9.8","11.2","20","0.85","23","0.348","95","0.326","0.462","0.497","3.2","2.3","0.5","0.4","0.3","0.4","5.5","3.7","6","4","108.7","105.6"
"461","Jason Preston","Lac","G","23.6","13","9.4","18.6","19.6","2","0","23","0.565","18","0.278","0.5","0.489","3.2","1.7","2.1","0.2","0","0.8","4.8","5.2","6.9","9.6","102.2","111.3"
"462","Dominick Barlow","San","F","19.8","14","11","12.6","19.4","13","0.769","29","0.586","4","0","0.515","0.568","3.1","2.6","0.6","0.2","0.3","0.6","5.8","3.8","6.4","6.1","117.3","107"
"463","Gorgui Dieng","San","C","33.1","22","9.7","17","21.1","6","0.833","21","0.667","46","0.261","0.478","0.495","3.1","2.6","1.4","0.1","0.4","0.8","5.7","4.5","7.1","9.2","102","107.5"
"464","Jordan Hall","San","G","21.2","9","9.1","19.6","19.8","9","0.778","13","0.462","15","0.2","0.375","0.438","3.1","1.3","1.2","0.1","0","0.8","4.4","4.3","5.7","7.4","91.2","117.5"
"465","Jake LaRavia","Mem","F","21.4","32","12.1","11.8","16.8","9","0.778","24","0.542","65","0.338","0.517","0.532","3.1","1.9","0.7","0.4","0.1","0.6","5","3.8","5.6","5.3","104.5","102.5"
"466","McKinley Wright IV","Dal","G","24.4","20","11.3","13.8","19","13","0.692","36","0.556","15","0.267","0.51","0.538","3.1","1.5","2.1","0.4","0.2","0.6","4.6","5.2","6.7","7.6","117","110.5"
"467","Tyler Dorsey","Dal","G","27.1","3","2.8","27.3","0","0","0","3","1","2","0.5","0.9","0.9","3","0.7","0","0","0","0","3.7","3","3.7","0","",""
"468","Danny Green","Mem","G","35.7","3","14.5","13.3","21.4","0","0","3","0","8","0.375","0.409","0.409","3","1.3","0.7","0.3","0","1","4.3","3.7","5","3.9","76.6","102.4"
"469","Saben Lee","Phi","G","23.7","2","5.1","31","42.9","0","0","3","1","1","0","0.75","0.75","3","0","1","0.5","0","1.5","3","4","4","0","86.3","105.2"
"470","Raul Neto","Cle","G","30.8","42","10.2","12","12.6","25","0.92","53","0.642","37","0.324","0.578","0.629","3","1","1.4","0.4","0.1","0.3","4","4.4","5.4","6.3","131.7","105.3"
"471","Trevelin Queen","Ind","G","26","7","10","23","19.2","5","1","14","0.357","15","0.133","0.276","0.337","3","2.4","0.9","0.3","0.7","1","5.4","3.9","6.3","7.5","78.8","115.4"
"472","Neemias Queta","Sac","C","23.7","4","6.1","17.3","11.1","2","0","8","0.75","0","0","0.75","0.676","3","2.3","0.3","0","0.3","0.3","5.3","3.3","5.5","8.4","133.9","89"
"473","Joe Wieskamp","Tor","G-F","23.6","3","7.9","16.1","11.1","0","0","1","0","7","0.429","0.563","0.563","3","0.7","0.3","0","0","0.3","3.7","3.3","4","4.3","105.2","117.6"
"474","Moussa Diabate","Lac","F","21.1","18","9.5","14.3","18.3","16","0.625","38","0.526","2","0.5","0.538","0.563","2.9","2.5","0.2","0.3","0.3","0.5","5.4","3.1","5.6","4.8","119.9","110.4"
"475","Juancho Hernangomez","Tor","F","27.5","42","14.6","9.4","11.6","16","0.563","47","0.66","67","0.254","0.496","0.504","2.9","2.9","0.6","0.4","0.1","0.4","5.8","3.5","6.4","4.7","108.1","110.8"
"476","A.J. Lawson","Dal","G","25.9","11","5.5","20.6","3.8","3","0.333","9","0.556","16","0.438","0.62","0.608","2.9","0.7","0.1","0.1","0","0.1","3.6","3","3.7","4.3","116.6","108"
"477","Josh Minott","Min","F","20.3","12","6.2","17.7","0","6","1","23","0.565","5","0.2","0.518","0.571","2.9","1.8","0.3","0.3","0.5","0","4.8","3.2","5","7.5","128.5","104.5"
"478","Trent Forrest","Atl","G","24.8","18","13.3","10.8","16.6","3","0.667","48","0.5","2","0","0.48","0.487","2.8","1.6","1.7","0.3","0.1","0.6","4.4","4.5","6.1","5.9","105","113.7"
"479","Meyers Leonard","Mil","F-C","31","5","6.9","15.8","16.1","2","1","1","0","9","0.444","0.6","0.643","2.8","2","0","0.2","0","0.4","4.8","2.8","4.8","0","113.8","92.8"
"480","Kai Jones","Cha","C-F","22.1","35","9.2","12.5","17","20","0.75","61","0.59","12","0.25","0.555","0.587","2.7","2.1","0.2","0.3","0.5","0.4","4.9","2.9","5","4.5","112","104.3"
"481","Frank Kaminsky","Atl","F-C","29.9","26","6.8","14","16.9","12","0.833","21","0.667","23","0.478","0.693","0.72","2.7","1.4","0.8","0.2","0","0.3","4.1","3.5","4.9","8.5","132.1","105.4"
"482","Robin Lopez","Cle","C","34.9","34","7.5","15.7","26.7","16","0.75","57","0.649","3","0.667","0.667","0.686","2.7","1.3","0.4","0","0.2","0.6","4","3.1","4.4","6","114","101.5"
"483","Ish Smith","Den","G","34.7","34","9.4","19","27.3","2","0.5","95","0.442","6","0.333","0.446","0.447","2.7","1.3","2.2","0.2","0.2","1.1","4","4.9","6.2","8.4","90.2","109.4"
"484","Terry Taylor","Ind","G","23.5","26","8.8","14.2","12.1","7","0.714","47","0.553","18","0.222","0.492","0.507","2.7","1.5","0.4","0.1","0.2","0.3","4.2","3","4.5","5.3","108.7","112.8"
"485","Matisse Thybulle","Phi","G-F","26","49","12.1","9.8","6.4","12","0.75","53","0.547","63","0.333","0.522","0.536","2.7","1.3","0.5","0.9","0.3","0.2","3.9","3.1","4.4","4","116","103.4"
"486","Juan Toscano-Anderson","Lal","F","29.9","30","12.2","10.4","20.4","15","0.733","46","0.63","20","0.2","0.53","0.558","2.7","2","0.8","0.3","0.2","0.6","4.7","3.5","5.6","5.3","106.9","104"
"487","Jabari Walker","Por","F","20.6","44","8.9","14.9","13.3","31","0.742","75","0.507","29","0.241","0.466","0.51","2.7","2","0.5","0.1","0.2","0.4","4.7","3.2","5.2","6.3","112.1","110.4"
"488","Will Barton","Tor","G","32.2","5","9.7","13.2","13.3","0","0","4","0.5","9","0.333","0.5","0.5","2.6","0.6","1.2","0.6","0.2","0.4","3.2","3.8","4.4","5.1","104.9","105.1"
"489","James Johnson","Ind","F","36.1","13","9.2","14.7","12.4","4","0.75","23","0.478","12","0.25","0.443","0.462","2.6","1.6","0.8","0.3","0.5","0.4","4.2","3.4","5","6.5","95.7","96.6"
"490","Garrett Temple","Nor","G-F","36.8","16","7.4","14.8","7.6","4","0.75","16","0.375","20","0.45","0.542","0.556","2.6","0.8","0.6","0.4","0.1","0.2","3.4","3.3","4.1","5.8","117.9","106.3"
"491","JT Thor","Cha","F","20.5","57","11.6","11.8","13.9","29","0.621","76","0.474","73","0.26","0.433","0.454","2.6","1.8","0.4","0.3","0.2","0.4","4.4","3","4.8","4.2","95","112.9"
"492","Darius Bazley","Pho","F-G","22.7","2","8.5","20.2","12.5","0","0","3","0.333","4","0.25","0.357","0.357","2.5","3","1","0.5","0.5","0.5","5.5","3.5","6.5","9.2","85.3","83.7"
"493","Jared Butler","Okc","G","22.5","2","9.6","13","33.3","0","0","2","0.5","2","0.5","0.625","0.625","2.5","0.5","2","1.5","0","1","3","4.5","5","5.7","104","96.8"
"494","Kessler Edwards","Sac","F","22.6","6","9.1","11.8","13.9","2","1","5","0.4","7","0.429","0.542","0.582","2.5","2","0.7","0.3","0","0.3","4.5","3.2","5.2","6.7","118","105.7"
"495","Ron Harper Jr.","Tor","F","22.9","4","3.5","21.2","0","0","0","3","0.667","4","0.5","0.714","0.714","2.5","0.5","0","0","0","0","3","2.5","3","0","",""
"496","Damian Jones","Lal","C","27.7","22","8","13.1","19.4","20","0.75","34","0.588","3","0","0.541","0.6","2.5","2.5","0.2","0.1","0.5","0.4","5","2.7","5.2","5.4","118.2","105.4"
"497","Kevin Knox II","Por","F","23.6","8","5.5","15.9","0","2","1","8","0.75","7","0.286","0.6","0.63","2.5","1.3","0.1","0.1","0","0","3.8","2.6","3.9","5","137.7","103.1"
"498","Jeff Dowtin Jr.","Tor","G","25.8","18","8.9","13.3","10.3","4","0.75","32","0.5","11","0.273","0.477","0.492","2.4","0.9","0.9","0.2","0.1","0.3","3.4","3.4","4.3","5.6","110.1","114.1"
"499","Sandro Mamukelashvili","Mil","F-C","23.8","24","9.1","14.5","13.4","18","0.667","26","0.462","32","0.219","0.388","0.432","2.4","2.3","0.7","0.2","0.2","0.4","4.7","3","5.4","6.9","102.1","104.3"
"500","Nerlens Noel","Det","C-F","28.9","14","10.8","11.9","20.9","10","0.7","28","0.393","2","0.5","0.417","0.465","2.3","2.6","0.5","0.9","0.6","0.6","4.9","2.8","5.4","5.3","92.6","98.7"
"501","Frank Ntilikina","Dal","G","24.6","41","11.8","12.7","20","24","0.667","47","0.489","53","0.208","0.395","0.43","2.3","1.3","1.1","0.3","0.1","0.6","3.6","3.4","4.7","5","89.6","108.5"
"502","Scotty Pippen Jr.","Lal","G","22.3","6","5.3","24","14","9","0.556","9","0.333","3","0.333","0.375","0.439","2.3","0.7","0.3","0.3","0.2","0.3","3","2.7","3.3","5.9","92.6","106.9"
"503","Davon Reed","Den","G","27.8","35","9","15","19.9","20","0.75","36","0.25","44","0.364","0.413","0.456","2.3","1.5","0.5","0.4","0.1","0.6","3.9","2.9","4.4","5.3","89.2","104.7"
"504","Khem Birch","Tor","C","30.5","20","8.1","11.1","19.8","5","0.8","30","0.6","2","0.5","0.609","0.629","2.2","1.3","0.4","0.3","0.3","0.4","3.4","2.5","3.8","5.2","113","103.1"
"505","Kennedy Chandler","Mem","G","20.5","28","8.3","15.9","19","11","0.455","54","0.463","14","0.143","0.412","0.419","2.2","1.1","1.7","0.4","0.2","0.6","3.3","3.9","5","7.7","96.6","108.6"
"506","Dru Smith","Mia","G","25.2","5","13.4","9.9","6.7","0","0","8","0.5","6","0.167","0.393","0.393","2.2","1.8","1","0.8","0.6","0.2","4","3.2","5","4.7","94.2","97.2"
"507","Jaden Springer","Phi","G","20.5","8","3.7","24.1","7","4","0.75","12","0.583","1","0","0.538","0.576","2.1","1","0.3","0.5","0.3","0.1","3.1","2.4","3.4","9.3","",""
"508","Justin Champagnie","Tor","G-F","21.7","3","3.6","11.7","0","0","0","3","1","0","0","1","1","2","1.3","0.3","0","0","0","3.3","2.3","3.7","10.2","",""
"509","Bruno Fernando","Atl","F-C","24.6","2","2.9","36.4","40","0","0","3","0.667","0","0","0.667","0.667","2","1","0.5","0","0","1","3","2.5","3.5","13.8","",""
"510","A.J. Lawson","Min","G","25.9","1","1.8","23.7","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","",""
"511","Sam Merrill","Cle","G","26.8","1","4.3","20.8","0","0","0","1","1","1","0","0.5","0.5","2","0","0","0","0","0","2","2","2","0","99.5","119.7"
"512","Jared Rhoden","Det","G","23.5","4","8.2","11.7","0","0","0","7","0.571","2","0","0.444","0.444","2","2","0","0","0","0","4","2","4","0","117.7","111.4"
"513","Chris Silva","Dal","F","26.5","1","3","30.2","50","0","0","1","1","0","0","1","1","2","0","0","0","0","1","2","2","2","0","",""
"514","Terry Taylor","Chi","G","23.5","2","2.9","15.4","0","0","0","2","1","0","0","1","1","2","0","0","0","0","0","2","2","2","0","",""
"515","Stanley Umude","Det","G","23.9","1","2.1","38","0","2","1","0","0","1","0","0","0.532","2","0","0","1","1","0","2","2","2","0","",""
"516","Udoka Azubuike","Uta","C-F","23.5","26","5.9","11.6","25.6","8","0.25","29","0.828","0","0","0.828","0.769","1.9","2.2","0.2","0.2","0.3","0.4","4.1","2.2","4.3","6.4","124.5","106.4"
"517","Keon Ellis","Sac","G","23.2","10","3.7","14.5","8.9","3","0.667","2","0.5","8","0.625","0.85","0.839","1.9","0.7","0.3","0.2","0.1","0.1","2.6","2.2","2.9","8","",""
"518","Theo Pinson","Dal","G-F","27.4","34","7.1","13.9","13","11","0.818","17","0.294","43","0.349","0.458","0.494","1.9","1.2","0.9","0.1","0","0.3","3.1","2.7","3.9","7.2","111.2","109.1"
"519","Ryan Rollins","Gol","G","20.7","12","5.2","26.1","43.9","6","1","11","0.364","9","0.333","0.425","0.508","1.9","1","0.5","0.1","0.1","1.3","2.9","2.4","3.4","7.6","70.1","101.6"
"520","Greg Brown III","Por","F","21.5","16","5.8","18.4","17.6","12","0.417","21","0.476","7","0.143","0.411","0.421","1.8","1.2","0.2","0.3","0.3","0.4","2.9","1.9","3.1","5.2","79.3","103.3"
"521","Trevor Hudgins","Hou","G","24","5","5.7","16.6","9.6","3","1","1","0","8","0.25","0.333","0.436","1.8","0","0.6","0","0","0.2","1.8","2.4","2.4","0","102.4","124.3"
"522","Alize Johnson","San","F","26.9","4","7.4","15.3","39.1","2","0.5","4","0.75","2","0","0.5","0.509","1.8","2.5","0.3","0.3","0","1","4.3","2","4.5","6","74","108.7"
"523","Kenneth Lofton Jr.","Mem","F","20.6","12","3.4","26.7","8.2","5","0.6","17","0.471","5","0.2","0.432","0.455","1.8","0.4","0.7","0.1","0","0.2","2.3","2.5","2.9","9.4","",""
