,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA
56,57,Jamal Murray,Den,G,26.0,54,32.7,26.5,11.6,189
57,58,Paolo Banchero,Orl,F,20.3,61,33.8,27.6,14.7,459
58,59,Cade Cunningham,Det,G,21.5,12,33.4,29.9,14.8,43
59,60,RJ Barrett,Nyk,F-G,22.7,63,34.2,26.3,11.9,334
60,61,Tyrese Maxey,Phi,G,22.4,48,32.9,24.8,7.9,181
61,62,Jrue Holiday,Mil,G,32.8,55,33.1,25.3,15.7,146
62,63,D'Angelo Russell,Lal,G,27.0,6,27.6,25.3,14.1,17
63,64,Fred VanVleet,Tor,G,29.0,56,37.0,22.6,10.6,227
64,65,Domantas Sabonis,Sac,F-C,26.9,64,34.5,21.3,20.3,355
65,66,Franz Wagner,Orl,F,21.5,67,32.9,23.5,12.9,275
66,67,Devin Vassell,San,G-F,22.6,33,31.0,24.6,8.8,91
67,68,Kevin Porter Jr.,Hou,G-F,22.9,45,33.5,25.0,18.6,201
68,69,Spencer Dinwiddie,Bro,G,29.9,13,34.9,24.2,13.3,66
69,70,Deandre Ayton,Pho,C,24.6,58,30.4,23.3,11.9,176
70,71,Myles Turner,Ind,C-F,27.0,57,29.6,22.0,12.3,248
71,72,D'Angelo Russell,Min,G,27.0,54,32.9,22.7,16.8,167
72,73,Spencer Dinwiddie,Dal,G,29.9,53,34.1,21.9,11.4,207
73,74,Gary Trent Jr.,Tor,G-F,24.1,59,32.7,21.8,5.7,186
74,75,Nikola Vucevic,Chi,C,32.4,67,33.8,21.7,10.8,128
75,76,Buddy Hield,Ind,G,30.2,68,31.8,20.9,11.9,108
76,77,Mikal Bridges,Pho,F,26.5,56,36.4,19.2,9.3,174
77,78,Michael Porter Jr.,Den,F,24.7,51,28.9,22.2,8.0,99
78,79,Andrew Wiggins,Gol,F,28.0,37,32.2,21.4,8.3,72
79,80,Christian Wood,Dal,F,27.5,56,26.6,26.3,13.2,231
80,81,Jaren Jackson Jr.,Mem,F-C,23.5,49,27.8,23.4,10.9,221
81,82,Aaron Gordon,Den,F,27.5,56,30.0,21.2,12.2,267
82,83,Cameron Johnson,Bro,F,27.0,12,29.6,22.9,6.2,49
83,84,O.G. Anunoby,Tor,F,25.7,54,35.9,19.9,14.2,154
84,85,Bennedict Mathurin,Ind,G-F,20.7,67,27.8,25.2,12.6,384
85,86,Norman Powell,Lac,G,29.8,54,25.8,25.9,12.4,239
86,87,Josh Giddey,Okc,G,20.4,63,30.8,24.5,16.9,111
87,88,Evan Mobley,Cle,C,21.7,68,34.2,20.4,14.4,263
88,89,Russell Westbrook,Lal,G,34.3,52,28.7,28.8,20.2,238
89,90,Devonte' Graham,San,G,28.1,11,28.1,22.1,10.2,40
90,91,De'Andre Hunter,Atl,F-G,25.3,58,32.0,19.7,9.5,191
91,92,Scottie Barnes,Tor,F,21.6,65,35.3,20.4,13.2,219
92,93,Jaden Ivey,Det,G,21.1,62,30.2,24.8,19.1,299
93,94,Wendell Carter Jr.,Orl,C-F,23.9,45,29.9,21.0,16.7,169
94,95,Brook Lopez,Mil,C,34.9,66,30.5,19.0,11.2,149
95,96,P.J. Washington,Cha,F,24.6,65,32.8,19.9,10.1,152
96,97,Harrison Barnes,Sac,F,30.8,66,33.0,17.0,10.4,327
97,98,Kevin Huerter,Sac,G-F,24.5,63,30.0,19.4,11.0,117
98,99,Jakob Poeltl,Tor,C,27.4,12,28.4,18.1,11.0,41
99,100,Saddiq Bey,Det,F,23.9,52,28.8,21.3,8.2,209
100,101,Tobias Harris,Phi,F,30.7,62,33.1,18.5,9.2,103
101,102,Alperen Sengun,Hou,C,20.6,62,28.3,21.6,19.4,241
102,103,Malcolm Brogdon,Bos,G,30.3,57,25.6,22.8,12.9,148
103,104,Gordon Hayward,Cha,F,33.0,44,31.8,19.9,14.8,136
104,105,Jarrett Allen,Cle,C,24.9,62,33.0,16.4,13.2,202
105,106,Bogdan Bogdanovic,Atl,G,30.6,42,28.7,20.1,9.5,62
106,107,Tim Hardaway Jr.,Dal,G-F,31.0,62,30.3,20.8,6.5,145
107,108,Dillon Brooks,Mem,G-F,27.1,60,30.4,22.1,9.4,129
108,109,Collin Sexton,Uta,G,24.2,47,24.0,23.1,15.4,197
109,110,Bobby Portis,Mil,F,28.1,56,26.1,21.6,9.8,87
110,111,Jonas Valanciunas,Nor,C,30.9,65,24.5,23.3,16.2,190
111,112,Cameron Johnson,Pho,F,27.0,17,25.3,19.6,5.5,33
112,113,Luguentz Dort,Okc,G,23.9,61,30.2,20.2,10.3,213
113,114,Khris Middleton,Mil,F,31.6,24,23.0,27.9,15.8,72
114,115,Rudy Gobert,Min,C,30.7,56,30.5,16.3,18.1,267
115,116,Malik Monk,Sac,G,25.1,63,22.5,26.0,16.0,176
116,117,Markelle Fultz,Orl,G,24.8,47,29.8,20.9,17.8,116
117,118,Chris Paul,Pho,G,37.9,46,32.1,19.2,15.6,137
118,119,Cam Reddish,Por,F-G,23.5,13,30.4,18.9,15.3,32
119,120,Immanuel Quickley,Nyk,G,23.7,69,28.4,19.6,9.2,176
120,121,Malik Beasley,Uta,G,26.3,55,26.7,21.3,8.2,44
121,122,Jalen Williams,Okc,G-F,21.9,62,29.7,18.1,13.5,147
122,123,Trey Murphy III,Nor,F,22.7,65,29.7,16.2,7.6,134
123,124,Russell Westbrook,Lac,G,34.3,8,29.5,23.2,27.3,19
124,125,Jusuf Nurkic,Por,C,28.6,48,26.6,22.4,19.8,178
125,126,Eric Gordon,Hou,G,34.2,47,30.2,18.1,14.8,135
126,127,Rui Hachimura,Was,F,25.1,30,24.3,23.1,10.0,58
127,128,Alec Burks,Det,G,31.6,51,22.0,22.7,11.2,188
128,129,John Collins,Atl,F-C,25.5,58,30.2,17.0,10.7,138
129,130,Dennis Schroder,Lal,G,29.5,54,31.0,18.3,14.7,198
130,131,Lonnie Walker IV,Lal,G-F,24.2,49,25.2,20.2,8.4,100
131,132,James Wiseman,Det,C,22.0,10,25.8,20.3,17.5,21
